,loss
0,37.21594220628411
1,25.321503764565367
2,19.26470806247411
3,16.117633361749043
4,13.854168336097937
5,12.445697204857373
6,11.597026493907817
7,11.08420123744053
8,10.885992407798767
9,10.755110381319593
10,10.621397957671904
11,10.357432111721828
12,9.9795251080896
13,9.68079904999911
14,9.518934368425613
15,9.480584726203704
16,9.217045693055892
17,9.049336266926632
18,8.873544515562587
19,9.038024371736105
20,8.663882469899358
21,8.591411926803357
22,8.573297749133452
23,8.492206538601673
24,8.371931901462865
25,8.263459042105618
26,8.24596719927973
27,7.86535753651055
28,7.867822742365925
29,7.849782074556341
30,7.7385453720352455
31,7.6920341130582885
32,7.552803909201193
33,7.448536204341442
34,7.393340860438034
35,7.263391473579599
36,7.3070912903962295
37,7.171599228795915
38,7.109391162452014
39,6.960438959841832
40,6.950136859349598
41,6.8631427232796325
42,6.854813260459515
43,6.801166696697624
44,6.736624681113587
45,6.689642166694406
46,6.620582103067642
47,6.584334073736738
48,6.607102868354886
49,6.501303815817616
50,6.52903190092771
51,6.380612256067432
52,6.365383137487378
53,6.375437958810693
54,6.345727430222373
55,6.329785174967422
56,6.251909997340529
57,6.214779254045304
58,6.181188158984141
59,6.15029838227119
60,6.130941836432179
61,6.088732473785293
62,6.055262888356006
63,5.973164692175256
64,5.990850127789856
65,5.965629203889733
66,5.925024824474462
67,5.908440555020129
68,5.8425682766285965
69,5.848518140140383
70,5.784385973581993
71,5.785446425258933
72,5.716076262423056
73,5.768747470573748
74,5.649778866984409
75,5.603525021963956
76,5.5969084401424185
77,5.545465308650351
78,5.579167917205395
79,5.491253048813066
80,5.497972992907619
81,5.417472822634893
82,5.451630555175989
83,5.463840448651857
84,5.425451618150313
85,5.361098073084587
86,5.395367829157293
87,5.311084282025319
88,5.3347227912617985
89,5.308402425586035
90,5.288591588060743
91,5.227808704530195
92,5.796730051548281
93,5.072625083170313
94,5.155301712957088
95,5.170462368114444
96,5.170029914884346
97,5.051735679749644
98,5.203022196964106
99,5.09483304123585
100,5.147961571707374
101,5.026071615945679
102,5.079661452325153
103,5.064075797886468
104,5.081592986489882
105,4.999834198162606
106,5.029564960933959
107,4.949132851226299
108,5.009430912861791
109,4.967467179572666
110,4.976295401181511
111,4.902084321114418
112,4.972137392950588
113,4.817140667397608
114,4.926219512066615
115,5.442435402321647
116,4.723000476326639
117,4.815371156580874
118,4.865659688724398
119,4.748373016339137
120,5.321470856365835
121,4.6063437191196215
122,4.82718791706651
123,4.732193952852975
124,4.750746062858074
125,4.694691463628282
126,4.6685553701325695
127,4.697665520801794
128,4.686002338570134
129,4.77757758473532
130,5.149824403128639
131,4.577376796306683
132,4.7688613759521035
133,4.645576416664239
134,4.607353283827288
135,4.620460957739836
136,4.664221637665203
137,4.618171913592534
138,4.5638149555107175
139,4.651492687816216
140,4.551994416716121
141,4.570310238632256
142,4.627919617262185
143,4.642461297971569
144,4.465566930749222
145,4.545609948372865
146,4.65157743708036
147,4.492050355967551
148,4.528184276596689
149,4.46919332431135
150,4.494158230864797
151,4.445800802301085
152,4.634732261014394
153,4.392732060280385
154,4.446806968656847
155,4.464530886001471
156,4.554269211203251
157,4.291967772932274
158,4.501922122164283
159,4.501092770716737
160,4.302563499941234
161,4.501848101224957
162,4.301995683209566
163,4.425198790103227
164,4.313343177093747
165,4.335885807856782
166,4.333617140739164
167,4.243286707206403
168,4.284173466543376
169,4.352503266271982
170,4.208519798414979
171,4.354371335744617
172,4.204128768321364
173,4.242488353121293
174,4.169017884613407
175,4.241412510183817
176,4.128486731278548
177,4.149870211613767
178,4.1523861447809685
179,4.13833214295981
180,4.069145630154191
181,4.12943131008254
182,4.035360904983747
183,4.1854134639264595
184,4.055238781615294
185,4.081112180480322
186,4.136556767972278
187,4.063270769314135
188,3.9936647250962665
189,4.074074696099121
190,4.011992826351124
191,3.982710928175933
192,4.080795156065559
193,4.597874104856362
194,3.8540874560232963
195,4.589250791205167
196,4.348038040214302
197,4.325037839750108
198,4.32075984437699
199,4.351538216783529
