,loss
0,0.9500843381711349
1,0.9396585540168991
2,0.9346761376402377
3,0.9288435919910335
4,0.9228616013645251
5,0.9190911166067748
6,0.9165061192853933
7,0.9138903656680182
8,0.9110607792824427
9,0.9080647449895838
10,0.9049392341675331
11,0.9022831894391151
12,0.8988198330471211
13,0.8931864046478373
14,0.8881526964455094
15,0.8823285305094839
16,0.8736519646942731
17,0.8671225107063792
18,0.8589277272348286
19,0.8526848370605751
20,0.8447021420839304
21,0.8319123842717138
22,0.8264476987053041
23,0.8155144089153026
24,0.8089154196026105
25,0.7992492781936915
26,0.7893054037595542
27,0.7835433125789445
28,0.7772532688945175
29,0.7705633370669802
30,0.7575194518444804
31,0.7550996911426731
32,0.7465177745306155
33,0.7421986681584365
34,0.7513459050583996
35,0.7505153939012811
36,0.7272787698882341
37,0.7107870959295136
38,0.7071601128361776
39,0.7150030163447338
40,0.6920472494408908
41,0.6772188939680782
42,0.6852135030734765
43,0.673770408943589
44,0.650775791098018
45,0.66496850464129
46,0.6461920177944612
47,0.6449165873606493
48,0.6443220117967899
49,0.6618049415688158
50,0.6373080130667933
51,0.6112620041908192
52,0.6012198691946653
53,0.5909153099379377
54,0.588455102975164
55,0.5822623274866426
56,0.6240226139935714
57,0.6026083996635277
58,0.5708185107367708
59,0.5534148574704228
60,0.5460120448824659
61,0.5462007651162359
62,0.5387379981666608
63,0.5280243120468828
64,0.5243716025390465
65,0.5288550031546599
66,0.5294285969828123
67,0.5790012730145233
68,0.5586792134171565
69,0.518609581959091
70,0.5001593792689449
71,0.48808045663707916
72,0.4824964876379134
73,0.47521512214973566
74,0.4697553468440066
75,0.4715396774096027
76,0.4740128013769049
77,0.4968394840624674
78,0.5336599958655501
79,0.5146671442991981
80,0.49831805504533305
81,0.4624080260364463
82,0.44979069060503907
83,0.4431775887789944
84,0.44100858097303874
85,0.4412653259170382
86,0.4397411920064064
87,0.43494798549241936
88,0.4351398756273606
89,0.440750561027211
90,0.4832613580720265
91,0.4878838866195102
92,0.4463254045328149
93,0.43275170153105474
94,0.42230841717742135
95,0.42117141087619714
96,0.41428455041902046
97,0.4116552256280826
98,0.40924779150178875
99,0.409102782322178
100,0.4106425452544313
101,0.41535371240097474
102,0.41088154743644617
103,0.4096159061072369
104,0.41289359349548793
105,0.4097728651806902
106,0.4159680292982998
107,0.4036460590637665
108,0.41022313833409363
109,0.4217854788337678
110,0.40990921131498154
111,0.40699211566454657
112,0.38851794205942686
113,0.37987081876888656
114,0.3762758331881982
115,0.37109034065288116
116,0.3687787896368254
117,0.3653157469951402
118,0.3625691474468241
119,0.36072009583440884
120,0.35857153135107583
121,0.3584279156429927
122,0.3590416407760113
123,0.3555725806062863
124,0.35195902847228433
125,0.34870197152587246
126,0.34810115361867516
127,0.3491924746777156
128,0.34923175763225134
129,0.3485550965672066
130,0.35152519373716007
131,0.3558838543294709
132,0.34779639121658695
133,0.3486237079048995
134,0.3594673565020889
135,0.3355237218796309
136,0.33299021990361843
137,0.34455259554390283
138,0.34551515088906937
139,0.3288355549562157
140,0.31975363586033206
141,0.31615995216572224
142,0.30910935050884514
143,0.30791047368847574
144,0.3077302578161839
145,0.30752905065106717
146,0.30232371950170256
147,0.30277359264324694
148,0.2994972905421082
149,0.29776868271627405
150,0.29408556158741084
151,0.28891017150699333
152,0.2865197752469661
153,0.2830871253192724
154,0.28510940352051173
155,0.27683460174575186
156,0.2751652429196171
157,0.2748072337792296
158,0.28000048083508966
159,0.28277860001138205
160,0.2864629921995106
161,0.2875861862610325
162,0.28012138829297106
163,0.28745589215940104
164,0.2713651025574978
165,0.2663390080513941
166,0.2700395237707687
167,0.26731848097149125
168,0.2612089240853738
169,0.2577358635725916
170,0.25498707468167103
171,0.2491382245663604
172,0.24503622935022246
173,0.24242146180956325
174,0.23975117071778124
175,0.23787936668982604
176,0.23991661954220772
177,0.237821842803141
178,0.24274468305385818
179,0.23563191303303455
180,0.2373265711991379
181,0.23640056008558652
182,0.23861448886358586
183,0.24106029647572613
184,0.24226377163385968
185,0.23350510837178565
186,0.23245843417018755
187,0.23121043863030372
188,0.23058542844617444
189,0.22734442214827227
